commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_syncing_response_time,passed,response_time,s,0.483,0.637,0.587,0.613,4,4,"0.637,0.615,0.483,0.611"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_browser_response_time,passed,response_time,s,0.599,0.663,0.632,0.633,4,4,"0.663,0.637,0.599,0.629"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_advanced_response_time,passed,response_time,s,0.578,0.794,0.638,0.589,4,4,"0.595,0.578,0.584,0.794"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_about_response_time,passed,response_time,s,0.596,0.645,0.623,0.625,4,4,"0.596,0.628,0.622,0.645"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_communities_response_time,passed,response_time,s,0.547,0.624,0.579,0.572,4,4,"0.547,0.624,0.588,0.555"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_keycard_response_time,passed,response_time,s,0.67,0.752,0.706,0.7,4,4,"0.752,0.67,0.706,0.695"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_privacy_response_time,passed,response_time,s,0.59,0.623,0.605,0.603,4,4,"0.59,0.623,0.616,0.59"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_backup_response_time,passed,response_time,s,0.574,0.648,0.626,0.64,4,4,"0.574,0.646,0.634,0.648"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_password_response_time,passed,response_time,s,0.608,0.625,0.616,0.617,4,4,"0.611,0.608,0.622,0.625"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_profile_response_time,passed,response_time,s,0.574,0.618,0.603,0.609,4,4,"0.574,0.618,0.614,0.604"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_first_open,passed,response_time,s,0.621,0.621,0.621,0.621,1,1,0.621
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_messages_first_open,passed,response_time,s,2.224,2.224,2.224,2.224,1,1,2.224
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_first_open,passed,response_time,s,1.628,1.628,1.628,1.628,1,1,1.628
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_cold_open,passed,response_time,s,1.13,1.176,1.15,1.145,3,3,"1.13,1.176,1.145"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_appearance_cold_open,passed,response_time,s,0.622,0.804,0.69,0.644,3,3,"0.622,0.644,0.804"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_settings_messaging_response_time,passed,response_time,s,0.602,0.619,0.611,0.611,4,4,"0.602,0.619,0.603,0.619"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_receive_response_time,passed,response_time,s,0.094,0.108,0.103,0.105,4,4,"0.106,0.094,0.105,0.108"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_send_response_time,passed,response_time,s,0.646,0.745,0.693,0.69,4,4,"0.692,0.687,0.646,0.745"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_swap_response_time,passed,response_time,s,0.626,0.666,0.655,0.663,4,4,"0.666,0.626,0.666,0.661"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_buy_response_time,passed,response_time,s,0.081,0.094,0.089,0.091,4,4,"0.081,0.09,0.092,0.094"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_assets_response_time,passed,response_time,s,0.628,0.699,0.664,0.665,4,4,"0.673,0.699,0.657,0.628"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_collectibles_response_time,passed,response_time,s,0.088,0.1,0.095,0.096,4,4,"0.1,0.1,0.088,0.091"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_history_response_time,passed,response_time,s,0.084,0.105,0.092,0.089,4,4,"0.093,0.085,0.105,0.084"
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_account_open_response_time,passed,response_time,s,0.087,0.087,0.087,0.087,1,1,0.087
5f66deN,2026-06-20T12:00:00,SM-A366B,test_android_wallet_add_account_response_time,passed,response_time,s,0.554,0.619,0.595,0.603,4,4,"0.554,0.612,0.619,0.593"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.591,0.663,0.627,0.627,4,4,"0.591,0.632,0.622,0.663"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.181,1.222,1.197,1.193,4,4,"1.222,1.198,1.181,1.188"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.077,0.093,0.084,0.083,4,4,"0.093,0.085,0.077,0.08"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_ens_response_time,passed,response_time,s,0.659,0.915,0.73,0.673,4,4,"0.66,0.687,0.915,0.659"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_appearance_response_time,passed,response_time,s,0.616,0.672,0.64,0.635,4,4,"0.616,0.647,0.624,0.672"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_language_response_time,passed,response_time,s,0.6,0.639,0.617,0.614,4,4,"0.6,0.618,0.639,0.61"
