commit_hash,device,android,sdk,oneui,sem,security_patch,build_incremental,fingerprint
276144-n260816,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
276144,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
276144-n260817,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e348b4-n260818,moto_g55_5G,16,36,,,2026-05-01,4367b5-261bfd0,motorola/taipei_g_sysen/taipei:16/W1UTS36.51-34-1/4367b5-261bfd0:user/release-keys
e348b4,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
e348b4,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
6d4aa0,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
a435c8,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
1fd9eb,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
c78e3a,SM-A366B,16,36,80500,3602,2026-06-05,A366BXXSACZF1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSACZF1_OXMACZF1:user/release-keys
c78e3a,25028RN03Y,15,35,,,2025-07-01,A15.0.8.0.VGWEUXM,Redmi/serenity_eea/serenity:15/AP3A.240905.015.A2/A15.0.8.0.VGWEUXM:user/release-keys
a152a8,SM-A366B,16,36,80500,3602,2026-07-05,A366BXXSBCZG1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSBCZG1_OXMBCZG1:user/release-keys
42be31,SM-A366B,16,36,80500,3602,2026-07-05,A366BXXSBCZG1,samsung/a36xqnaeea/a36xq:16/BP4A.251205.006/A366BXXSBCZG1_OXMBCZG1:user/release-keys
