commit_hash,date,test_name,status,min_time,max_time,avg_time,run_count,all_runs
1feb533b1,2026-02-07T05:16:40,test_swap_loading_time[wallet_load_alex_user],passed,1.082,3.91,1.769,5,"3.91,1.4,1.296,1.155,1.082"
1feb533b1,2026-02-08T05:13:06,test_swap_loading_time[wallet_load_user],passed,0.966,2.767,1.336,5,"2.767,0.968,1.008,0.969,0.966"
1feb533b1,2026-02-08T05:13:06,test_swap_loading_time[wallet_load_alex_user],passed,0.944,2.848,1.408,5,"2.848,1.102,0.944,1.066,1.081"
1feb533b1,2026-02-08T05:13:06,test_wallet_loading_time[wallet_load_user],passed,0.872,0.911,0.891,5,"0.872,0.879,0.911,0.883,0.907"
1feb533b1,2026-02-08T05:13:06,test_wallet_loading_time[wallet_load_alex_user],passed,0.923,1.109,0.988,5,"0.923,0.953,1.031,1.109,0.926"
6d173bfdf,2026-02-09T05:14:59,test_wallet_loading_time[wallet_load_user],passed,0.728,1.057,0.864,5,"0.728,0.795,0.831,0.91,1.057"
6d173bfdf,2026-02-09T05:14:59,test_swap_loading_time[wallet_load_user],passed,1.161,3.908,1.745,5,"3.908,1.261,1.197,1.197,1.161"
6d173bfdf,2026-02-09T05:14:59,test_wallet_loading_time[wallet_load_alex_user],passed,0.823,1.052,0.964,5,"1.029,0.952,1.052,0.961,0.823"
6d173bfdf,2026-02-09T05:14:59,test_swap_loading_time[wallet_load_alex_user],passed,0.813,4.172,1.537,5,"4.172,0.93,0.929,0.841,0.813"
a4e0c817c,2026-02-10T05:13:17,test_wallet_loading_time[wallet_load_alex_user],passed,0.878,1.185,1.095,5,"0.878,1.175,1.093,1.185,1.142"
a4e0c817c,2026-02-10T05:13:17,test_swap_loading_time[wallet_load_user],passed,0.896,2.572,1.287,5,"2.572,1.001,0.987,0.978,0.896"
a4e0c817c,2026-02-10T05:13:17,test_wallet_loading_time[wallet_load_user],passed,0.618,0.951,0.748,5,"0.951,0.827,0.722,0.618,0.623"
a4e0c817c,2026-02-10T05:13:17,test_swap_loading_time[wallet_load_alex_user],passed,1.304,3.624,1.806,5,"3.624,1.342,1.437,1.304,1.324"
67f3eaa6f,2026-02-10T12:46:40,test_wallet_loading_time[wallet_load_alex_user],passed,0.84,1.118,1.025,5,"1.084,1.118,1.112,0.973,0.84"
67f3eaa6f,2026-02-10T12:46:40,test_swap_loading_time[wallet_load_alex_user],passed,1.034,3.136,1.49,5,"3.136,1.067,1.034,1.05,1.165"
67f3eaa6f,2026-02-10T12:46:40,test_wallet_loading_time[wallet_load_user],passed,0.782,1.028,0.912,5,"0.782,0.909,0.875,0.964,1.028"
67f3eaa6f,2026-02-10T12:46:40,test_swap_loading_time[wallet_load_user],passed,1.224,4.317,1.961,5,"4.317,1.446,1.449,1.371,1.224"
67f3eaa6f,2026-02-10T16:24:54,test_swap_loading_time[wallet_load_alex_user],passed,1.126,3.605,1.692,5,"3.605,1.245,1.219,1.263,1.126"
67f3eaa6f,2026-02-10T16:24:54,test_swap_loading_time[wallet_load_user],passed,0.848,2.74,1.3,5,"2.74,1.02,0.848,1.002,0.89"
67f3eaa6f,2026-02-10T16:24:54,test_wallet_loading_time[wallet_load_user],passed,0.579,0.89,0.77,5,"0.876,0.89,0.805,0.699,0.579"
67f3eaa6f,2026-02-10T16:24:54,test_wallet_loading_time[wallet_load_alex_user],passed,0.829,1.224,1.094,5,"0.829,1.088,1.137,1.192,1.224"
bd7d5c072,2026-02-11T05:21:27,test_wallet_loading_time[wallet_load_user],passed,0.681,0.93,0.773,5,"0.683,0.681,0.757,0.815,0.93"
bd7d5c072,2026-02-11T05:21:27,test_swap_loading_time[wallet_load_alex_user],passed,1.026,3.307,1.582,5,"3.307,1.177,1.348,1.051,1.026"
bd7d5c072,2026-02-11T05:21:27,test_swap_loading_time[wallet_load_user],passed,1.124,3.953,1.77,5,"3.953,1.303,1.275,1.198,1.124"
bd7d5c072,2026-02-11T05:21:27,test_wallet_loading_time[wallet_load_alex_user],passed,1.051,1.453,1.158,5,"1.147,1.453,1.051,1.081,1.057"
cb98f3d65,2026-02-11T11:49:58,test_wallet_loading_time[wallet_load_alex_user],passed,0.688,1.855,1.07,5,"1.013,1.855,0.921,0.873,0.688"
cb98f3d65,2026-02-11T11:49:58,test_wallet_loading_time[wallet_load_user],passed,0.979,1.277,1.115,5,"0.979,1.081,1.003,1.277,1.233"
cb98f3d65,2026-02-11T11:49:58,test_swap_loading_time[wallet_load_user],passed,0.789,3.528,1.402,5,"3.528,0.904,0.885,0.906,0.789"
cb98f3d65,2026-02-11T11:49:58,test_swap_loading_time[wallet_load_alex_user],passed,0.702,2.118,1.058,5,"2.118,0.946,0.769,0.754,0.702"
82e33c9ca,2026-02-12T05:15:29,test_wallet_loading_time[wallet_load_user],passed,0.948,1.228,1.025,5,"1.008,1.228,0.958,0.948,0.983"
82e33c9ca,2026-02-12T05:15:29,test_swap_loading_time[wallet_load_alex_user],passed,0.846,2.725,1.301,5,"2.725,0.954,1.008,0.973,0.846"
82e33c9ca,2026-02-12T05:15:29,test_swap_loading_time[wallet_load_user],passed,0.888,2.201,1.218,5,"2.201,1.052,0.888,1.021,0.929"
82e33c9ca,2026-02-12T05:15:29,test_wallet_loading_time[wallet_load_alex_user],passed,1.04,1.166,1.086,5,"1.04,1.101,1.166,1.085,1.04"
783adc768,2026-02-13T06:12:16,test_wallet_loading_time[wallet_load_user],passed,1.045,1.18,1.136,5,"1.151,1.169,1.18,1.136,1.045"
783adc768,2026-02-13T06:12:16,test_swap_loading_time[wallet_load_alex_user],passed,0.847,2.594,1.242,5,"2.594,0.847,0.97,0.924,0.877"
783adc768,2026-02-13T06:12:16,test_wallet_loading_time[wallet_load_alex_user],passed,0.706,0.887,0.804,5,"0.818,0.783,0.706,0.827,0.887"
783adc768,2026-02-13T06:12:16,test_swap_loading_time[wallet_load_user],passed,0.634,2.258,1.012,5,"2.258,0.758,0.721,0.687,0.634"
e27b645f4,2026-02-13T10:29:52,test_wallet_loading_time[wallet_load_alex_user],passed,0.604,1.068,0.886,5,"0.604,0.899,0.884,1.068,0.976"
e27b645f4,2026-02-13T10:29:52,test_swap_loading_time[wallet_load_user],passed,0.776,2.256,1.096,5,"2.256,0.797,0.844,0.809,0.776"
e27b645f4,2026-02-13T10:29:52,test_wallet_loading_time[wallet_load_user],passed,0.765,1.647,1.06,5,"1.05,1.647,0.926,0.912,0.765"
e27b645f4,2026-02-13T10:29:52,test_swap_loading_time[wallet_load_alex_user],passed,0.98,3.102,1.51,5,"3.102,1.045,1.123,1.301,0.98"
312dc49f1,2026-02-14T05:16:59,test_wallet_loading_time[wallet_load_user],passed,0.661,0.902,0.775,5,"0.661,0.728,0.79,0.793,0.902"
312dc49f1,2026-02-14T05:16:59,test_swap_loading_time[wallet_load_user],passed,0.674,2.057,1.006,5,"2.057,0.8,0.747,0.751,0.674"
312dc49f1,2026-02-14T05:16:59,test_swap_loading_time[wallet_load_alex_user],passed,0.882,4.955,1.803,5,"4.955,1.243,0.999,0.935,0.882"
312dc49f1,2026-02-14T05:16:59,test_wallet_loading_time[wallet_load_alex_user],passed,1.027,2.102,1.302,5,"2.102,1.078,1.136,1.167,1.027"
a7b15fb36,2026-02-15T05:15:49,test_wallet_loading_time[wallet_load_user],passed,0.752,1.032,0.913,5,"0.752,0.879,0.909,0.991,1.032"
